kagakueigano_ichi_kosatsu.txt,単語,頻度,gorono_ronri.txt,単語,頻度,kagaku_bumueno_kugen.txt,単語,頻度,bito_kagaku.txt,単語,頻度,kagakuteki_seishintowa_nanika.txt,単語,頻度,senkono_hi.txt,単語,頻度,gengoto_dogu.txt,単語,頻度,kagakuteki_hohono_tekiyosarenu_baai.txt,単語,頻度,gijutsuno_tetsugaku.txt,単語,頻度,kagaku_jicho.txt,単語,頻度,hanashino_tane.txt,単語,頻度,hikaku_kagakuron.txt,単語,頻度,kokeino_ronri.txt,単語,頻度,futatabi_kagakuno_rekishiteki.txt,単語,頻度,jikkenshitsuno_kioku.txt,単語,頻度,terebino_kagakubangumi.txt,単語,頻度,nihon_saiken.txt,単語,頻度,haru6dai.txt,単語,頻度,ryotekito_shitsuteki.txt,単語,頻度,mangato_kagaku.txt,単語,頻度,gijutsuteki_seishintowa_nanika.txt,単語,頻度,kagakuwa_yakuni_tatsuka.txt,単語,頻度,gijutsue_iku_mondai.txt,単語,頻度,unescoto_kagaku.txt,単語,頻度,saijiki_shinchu.txt,単語,頻度,kagakuto_kagakuno_kannen.txt,単語,頻度,kagakushato_atama.txt,単語,頻度,chikyuno_marui_hanashi.txt,単語,頻度,risshunno_tamago.txt,単語,頻度,seisan'o_mokuhyotosuru_kagaku.txt,単語,頻度,futatabi_kagakuteki_seishinni_tsuite.txt,単語,頻度,mannenfude_ran_yori.txt,単語,頻度,kagakuto_bunka.txt,単語,頻度,kagakuga_hesoo_mageta.txt,単語,頻度,kagakuno_joshiki.txt,単語,頻度,ujino_koyo.txt,単語,頻度,kagakuni_kokorozasu_hitoe.txt,単語,頻度,warerano_tetsugaku.txt,単語,頻度,kokuminno_jinkaku_kojo.txt,単語,頻度,kagakuno_fushigi.txt,単語,頻度,kagakusyato_geijutsuka.txt,単語,頻度,kagakujoni_okeru_ken'ino_kachito_heigai.txt,単語,頻度,minami_taiheiyo_kagaku.txt,単語,頻度,nihonbunkato_kagakuteki_shiso.txt,単語,頻度,saikin_nihonno_kagakuron.txt,単語,頻度,chawanno_yu.txt,単語,頻度,hosokuni_tsuite.txt,単語,頻度,kagakujono_kotto_shumito_onkochishin.txt,単語,頻度,kokuboto_kagaku.txt,単語,頻度,inuga_nakuto_garasuga_kowareruka.txt,単語,頻度,kagakuno_genkai.txt,単語,頻度,kagakuron.txt,単語,頻度,senrigan_sonota.txt,単語,頻度,shakaijijoto_kagakutekiseishin.txt,単語,頻度,kagaku_hohoron.txt,単語,頻度,gijutsuto_kagakutono_gainen.txt,単語,頻度,zerontoroji.txt,単語,頻度
,日,3,,譜,9,,年,15,,もつ,3,,処,17,,仕事,3,,寺田,3,,１,2,,之,123,,例,4,,八,46,,これ,12,,中,11,,岡,12,,ない,9,,年,6,,産業,13,,一つ,7,,水,9,,年,6,,現実,10,,たち,23,,一,6,,原始,2,,いう,7,,良識,6,,恐れ,5,,・,10,,れる,13,,可能,5,,自然,17,,時,4,,面白い,6,,科学,6,,十,11,,それ,4,,とき,5,,子供,33,,自分,3,,方,241,,結果,8,,研究,6,,なつ,20,,歴史,6,,来る,13,,わかる,6,,無限,10,,なる,5,,的,2,,られる,21,,再現,15,,唯物,199,,たち,17,,者,10,,処,257,,問題,6,,九,11
,中谷,2,,られる,9,,性,15,,国語,3,,技術,16,,日本,3,,寅彦,3,,字,2,,見る,122,,ここ,4,,写真,45,,鉄,12,,我ら,11,,特有,12,,作る,9,,字,5,,原子,12,,物質,7,,得る,9,,人,5,,家,9,,ため,23,,ある,6,,比較,2,,時,7,,見る,6,,難関,5,,二,10,,出来る,13,,すぎる,5,,専門,17,,底本,4,,上,5,,火星,6,,一つ,11,,こと,4,,分かる,5,,宇宙,32,,状態,3,,十,222,,同様,7,,れる,6,,かう,20,,学,5,,学,13,,高い,6,,はず,10,,集める,5,,点,2,,非常,21,,性質,14,,研究,193,,得る,17,,示す,10,,得る,241,,それ,6,,現象,11
,宇吉郎,2,,学問,9,,出る,15,,三,3,,夫,15,,文庫,3,,六,3,,上げ,2,,関係,115,,字,4,,いう,44,,流星,12,,考,11,,実践,12,,所,9,,内容,5,,可能,12,,そう,6,,年,8,,抽象,5,,処,9,,言う,22,,いい,6,,比べる,2,,冷える,7,,得る,6,,考える,5,,粍,10,,そう,13,,誘惑,5,,出来る,17,,万年筆,3,,昭和,5,,思う,6,,書く,11,,いく,4,,頭,5,,二,31,,産業,3,,持つ,219,,現象,7,,方面,5,,られる,20,,今日,5,,一,13,,冷たい,6,,変化,10,,云う,5,,発表,2,,何,20,,さ,14,,得る,185,,方,17,,限り,10,,関係,227,,意味,6,,牛乳,11
,記号,2,,問題,9,,廃棄,15,,日,3,,者,14,,中谷,2,,かしぐ,3,,方,2,,意味,115,,地下鉄,4,,百,44,,年,12,,今日,11,,者,11,,必要,9,,時間,5,,再建,11,,ため,6,,学者,8,,点,5,,他,9,,くる,21,,研究,6,,よい,2,,地面,7,,一つ,6,,人間,5,,図,10,,場合,13,,文化,5,,問題,16,,欄,3,,自然,5,,上,6,,地球,11,,られる,4,,さん,5,,間,30,,年,3,,なつ,212,,一つ,7,,人間,5,,目,19,,見る,5,,専門,13,,風,6,,匁,9,,十,5,,上,2,,ほう,19,,宗教,13,,られる,182,,何,16,,性,10,,存在,213,,実験,6,,五,11
,ルビ,2,,イオン,9,,水,15,,中谷,2,,上,14,,宇吉郎,2,,入力,3,,思う,2,,よう,112,,間,4,,法,38,,哲学,12,,様,11,,概念,11,,見る,9,,よい,5,,見る,11,,言う,6,,意味,8,,運動,5,,出来る,9,,年,21,,自然,6,,進む,2,,太陽,7,,よう,6,,世界,5,,得る,10,,これ,12,,論,5,,意味,15,,寺田,3,,広い,5,,判る,6,,中,10,,見る,4,,られる,5,,神,29,,原因,3,,花,209,,得る,7,,分る,5,,さ,17,,ところ,5,,研究,13,,おもしろい,5,,ここ,9,,極端,5,,花,2,,一つ,19,,五,13,,一般,182,,中,14,,田辺,10,,考える,201,,規定,5,,これ,10
,例,2,,大学,9,,米国,15,,宇吉郎,2,,一つ,14,,例,2,,来る,3,,いろいろ,2,,得る,109,,ところ,4,,せる,35,,先生,12,,ある,10,,階級,11,,おく,8,,類,5,,吾,11,,みる,6,,思う,8,,そこ,5,,資本,9,,られる,20,,問題,5,,萬,2,,にくい,7,,傍点,5,,月,5,,話,9,,百,12,,年,5,,認識,15,,寅彦,3,,られる,5,,下,6,,読む,10,,科学,4,,仕事,5,,自分,28,,生産,3,,水,204,,問題,7,,それ,5,,方,17,,得る,5,,世界,12,,ない,5,,ため,9,,応用,5,,底本,2,,出る,19,,意味,12,,他,178,,種,14,,思う,10,,有,196,,手段,5,,来る,10
,蛙,2,,議論,9,,言う,15,,地,2,,他,13,,暇,2,,いう,3,,出る,2,,自身,106,,意味,4,,千,33,,電子,12,,学,10,,理論,11,,話,8,,日,5,,はれる,10,,者,5,,みる,8,,物,5,,機構,9,,得る,20,,思う,5,,せる,2,,秋分,7,,学問,5,,昭和,4,,円,9,,年,12,,月,5,,宗教,15,,入力,3,,書く,5,,しまう,6,,事実,10,,平成,4,,科学,4,,誤り,28,,組織,3,,自分,195,,直感,7,,思う,5,,石鹸,17,,多く,5,,技術,12,,すかす,5,,天体,9,,月,5,,発行,2,,言葉,18,,これ,12,,認識,177,,みる,14,,点,10,,一つ,195,,体系,5,,日,9
,かえる,2,,例,8,,二,14,,１,2,,られる,13,,いる,2,,二つ,3,,はず,2,,一,99,,出す,4,,時,32,,論,11,,有る,10,,経済,11,,人,8,,者,4,,以上,10,,見る,5,,上,8,,十,5,,見る,9,,場合,20,,物質,5,,原子,2,,ため,7,,来る,5,,普通,4,,人,9,,重心,12,,日,5,,処,14,,軒,3,,これら,5,,指,6,,若い,10,,月,4,,寺田,4,,信ずる,28,,向上,2,,いる,194,,小説,7,,ため,5,,思ふ,16,,事実,5,,持つ,11,,場合,5,,有限,9,,日,5,,校正,2,,おもう,18,,学問,12,,そのもの,168,,時,14,,特殊,10,,なくす,193,,自身,5,,科学,9
,珠玉,2,,専門,8,,できる,14,,字,2,,実践,13,,地,2,,学,3,,大体,2,,上,99,,年,4,,器械,30,,今日,11,,見える,10,,政治,11,,知識,8,,１,4,,技術,10,,意味,5,,せる,8,,美,5,,者,8,,中,19,,絶対,5,,つた,2,,灰,7,,私,5,,命題,4,,位,9,,説明,11,,例,4,,家,14,,八,3,,出来る,5,,落ちる,6,,感情,10,,寺田,3,,寅彦,4,,信じる,27,,仁科,2,,蜂,194,,面,6,,教科書,5,,たち,16,,よう,5,,そのもの,11,,何,5,,級数,9,,一種,4,,作成,2,,ところ,18,,返す,12,,よう,168,,念,13,,民族,10,,区別,189,,氏,5,,ない,8
,篇,2,,何,8,,ジャーナリズム,14,,上げ,2,,必要,12,,２,2,,ない,3,,前,2,,発明,99,,思う,4,,みる,29,,いう,11,,出来る,10,,連続,11,,残る,8,,下げ,4,,教師,10,,自分,5,,点,7,,似る,5,,傍点,8,,博士,19,,見る,5,,自然,2,,分,6,,いい,5,,ほう,4,,場合,9,,さ,11,,常識,4,,哲学,13,,クロロホルム,3,,間違い,5,,話,5,,学者,10,,寅彦,3,,いう,4,,性,27,,芳雄,2,,行く,190,,一種,6,,批判,5,,れる,16,,行う,4,,見る,11,,まわり,5,,距離,9,,芸術,4,,青空,2,,必要,18,,非常,11,,見る,165,,乾板,13,,事実,9,,他,185,,過程,5,,私,8
,へん,2,,頃,8,,物,14,,人々,2,,問題,12,,字,2,,動作,3,,経つ,2,,一般,98,,通話,4,,られる,29,,波,11,,脳,10,,生活,11,,仕事,8,,コク,4,,つた,9,,ほう,5,,事実,7,,作者,5,,根本,8,,現在,19,,年,5,,われわれ,2,,光る,6,,一,5,,前途,4,,重力,9,,分の,11,,ここ,4,,他,13,,作用,3,,既知,5,,中,5,,学校,9,,中,3,,今,4,,死ぬ,27,,数字,2,,僕,178,,多く,6,,年,5,,スコール,16,,驚く,4,,文化,11,,日,5,,述べる,9,,ため,4,,文庫,2,,話,18,,出る,11,,出来る,165,,発明,13,,しめる,9,,人々,185,,水準,5,,チャーチ,7
,種類,2,,国家,8,,原爆,14,,みる,2,,出来る,12,,上げ,2,,抽象,3,,これ,2,,処,97,,そう,4,,者,27,,比較,10,,程度,10,,今,10,,管,8,,同行,4,,民,9,,しれる,5,,言う,7,,月,5,,ため,8,,アメリカ,19,,月,5,,物質,2,,万,6,,権,5,,力,4,,中,8,,前,10,,精神,4,,支配,13,,人,3,,知る,5,,錬金術,5,,社会,9,,例,3,,道,4,,つける,26,,家,2,,間,177,,研究,6,,誤り,5,,十,16,,内容,4,,他,11,,そこ,5,,温度,9,,掘出す,4,,ファイル,2,,意味,18,,自然,11,,就く,164,,三,12,,わが国,9,,物理,183,,ラジウム,5,,気,7
,博物,2,,思う,7,,何,13,,種類,2,,そのもの,12,,十月,2,,切る,3,,ない,2,,哲学,95,,緑,4,,ない,27,,字,10,,五,10,,之,10,,しまう,8,,見出し,4,,家,9,,だれ,5,,発見,7,,困難,4,,必要,8,,出る,19,,日,5,,考える,2,,見える,6,,処,5,,研究,4,,糎,8,,部,10,,得る,4,,考える,12,,せる,3,,見る,5,,何,5,,人類,9,,入力,3,,生活,4,,みる,25,,せる,2,,行,173,,時,6,,旋毛曲り,5,,風呂,14,,ゆく,4,,得る,11,,下,5,,来る,9,,事実,4,,テキスト,1,,ガラス,17,,原則,11,,主義,164,,うち,12,,人々,8,,規定,181,,年,5,,ヒマラヤ,7
,動物,2,,自然,7,,協定,13,,もの,2,,論,11,,昔,2,,これら,3,,変化,2,,ブルジョア,95,,汚点,4,,結果,27,,現象,10,,者,9,,もつ,10,,使う,8,,日本,4,,思ふ,9,,知る,5,,物,7,,間,4,,よう,8,,行く,19,,知れる,4,,實,2,,強い,6,,必要,5,,行く,4,,言う,8,,方,10,,根本,4,,られる,12,,肝臓,3,,疑問,5,,く,5,,自然,9,,九,3,,大学,4,,一つ,24,,れる,2,,一つ,169,,自然,6,,弊害,4,,仲間,13,,考察,4,,意味,10,,られる,5,,複雑,8,,得る,4,,現れる,1,,見る,17,,わかる,11,,一,155,,透視,12,,現われる,8,,今,177,,月,5,,行く,7
,植物,2,,点,7,,プルトニウム,13,,話,2,,性,11,,寺田,2,,必要,3,,きめる,2,,知能,92,,人間,4,,九,27,,二つ,9,,言葉,9,,性格,10,,方法,8,,普及,4,,始める,9,,現象,5,,結果,6,,自身,4,,性,8,,三,19,,独断,4,,成果,2,,月,6,,進歩,5,,ない,4,,楕円,8,,倒れる,9,,来る,4,,真理,12,,発電,3,,場合,5,,失敗,5,,宇宙,9,,自由,3,,後年,4,,点,24,,ふる,2,,三,168,,現実,6,,例,4,,話,13,,発達,4,,時局,10,,底,5,,思う,8,,問題,4,,記号,1,,わけ,17,,年,10,,実験,152,,技術,12,,よう,8,,ここ,164,,日,5,,人間,7
,生態,2,,家,7,,発電,12,,見る,2,,見る,11,,大学,2,,数,3,,出す,2,,点,86,,それ,4,,十月,26,,よい,9,,ない,9,,問題,9,,私,7,,点,4,,ため,9,,植物,5,,現代,6,,ない,4,,カテゴリー,8,,費,19,,やる,4,,東京,2,,千,6,,年,5,,つく,4,,〇,8,,分,9,,自身,4,,そこ,11,,船,3,,文化,4,,宇宙,5,,面白い,9,,画稿,3,,勝手,4,,境界,24,,とる,2,,了,168,,論理,6,,進歩,4,,長い,12,,従来,4,,於く,10,,れる,5,,かく,8,,思う,4,,ルビ,1,,使う,17,,上,10,,知識,150,,我が国,11,,政治,8,,真理,163,,例,4,,老衰,7
,話,2,,頭,7,,一つ,11,,耳,2,,思う,10,,卒業,2,,増す,3,,ふう,2,,一つ,82,,時間,3,,よる,25,,警視庁,9,,絶対,9,,ある,9,,ミリ,7,,公共,4,,分野,8,,内部,5,,行なう,6,,表わす,4,,例,7,,私,18,,アメリカ,4,,行く,2,,来る,6,,月,5,,だめ,4,,一番,8,,よい,9,,原因,4,,文学,11,,出来る,3,,説明,4,,研究,5,,歴史,9,,軽侮,3,,生涯,4,,今日,23,,各自,2,,出す,166,,年,6,,間口,4,,ところ,12,,直観,4,,出来る,10,,白い,4,,宇宙,8,,所,4,,注,1,,分析,17,,内,10,,者,148,,先生,11,,条件,8,,運動,159,,界,4,,鉱,7
,風,2,,考え方,7,,海洋,11,,感ずる,2,,一,10,,高等,2,,分類,3,,片付く,2,,来る,79,,入力,3,,瓦斯,25,,思う,9,,境界,9,,吾,9,,出来る,7,,一番,4,,如何,8,,そこ,5,,学界,6,,価値,4,,関係,7,,点,18,,得る,4,,できる,2,,熱,6,,説明,4,,あら,4,,四,8,,とる,9,,見る,4,,一つ,11,,九月,3,,方面,4,,いう,5,,学,9,,ちる,3,,演習,4,,目,22,,ここ,2,,見える,164,,例,5,,広い,4,,立つ,12,,わが国,4,,拘る,9,,滴,4,,運動,8,,分子,4,,主,1,,中,16,,方,10,,生産,147,,写,11,,事情,7,,一,158,,観念,4,,ミネラル,7
,普通,2,,われわれ,7,,捨てる,11,,感じ,2,,今日,10,,ところ,2,,巻,3,,調べる,2,,下げる,78,,者,3,,研究,25,,二,9,,字,8,,夫,9,,ここ,7,,おく,4,,外,8,,説明,4,,おもしろい,6,,精神,4,,られる,7,,生きる,18,,他,4,,等,2,,瓦斯,6,,生産,4,,事,4,,有効,8,,写真,8,,持つ,4,,上,11,,狐,3,,精神,4,,間,5,,著者,8,,い,3,,行く,4,,名,22,,道義,2,,四,161,,頓着,5,,深い,4,,暑い,12,,思考,4,,家,9,,大きい,4,,間,8,,寺田,3,,外字,1,,方,16,,くる,10,,経験,142,,事実,11,,わけ,7,,下げる,158,,三,4,,いい,7
,面白い,2,,良い,7,,使う,11,,真,2,,得る,9,,続ける,2,,例,2,,要素,2,,持つ,78,,１,3,,用いる,24,,球,9,,一つ,8,,現代,9,,よい,7,,何,4,,能力,8,,アインシュタイン,4,,多く,6,,適用,4,,特色,7,,わかる,18,,発見,4,,文明,2,,説,5,,持つ,4,,事実,4,,円い,7,,わけ,8,,造る,4,,研究,11,,距離,3,,物理,4,,える,5,,文化,8,,ため,3,,読む,4,,おく,21,,心,2,,きのこ,161,,むとんちゃく,5,,専門,4,,魚,12,,しめる,4,,ブルジョア,9,,月,4,,力,8,,寅彦,3,,説明,1,,流れ,16,,高い,10,,右,141,,いう,11,,ゆく,7,,何,157,,いい,4,,期,7
,楽,2,,これ,7,,字,10,,的,2,,世界,9,,設備,2,,むつ,2,,綜合,2,,階級,78,,下げ,3,,数,24,,深い,9,,生物,8,,人々,8,,例,6,,行く,4,,組合,8,,点,4,,思いつき,6,,分析,4,,問題,7,,一番,17,,人工,4,,與える,2,,稲妻,5,,意味,4,,寺田,3,,凹凸,7,,机,8,,巫術,3,,思う,11,,例,2,,何,4,,地表,5,,物語,8,,自然,3,,先輩,4,,くる,20,,性格,2,,虫,158,,言葉,5,,行く,4,,冬,12,,進む,4,,傾向,9,,似る,4,,目方,8,,例,3,,傍点,1,,天気,16,,治る,10,,意識,136,,博士,11,,一,7,,法則,156,,風,4,,ミリグラム,7
,外国,2,,ゆ,7,,いう,10,,顕微鏡,2,,意義,9,,少い,2,,者,2,,底本,2,,ため,75,,道,3,,色,24,,日,9,,差,8,,考える,8,,者,6,,必要,4,,生徒,8,,理論,4,,たち,6,,要素,4,,楽天,7,,今,17,,金剛石,4,,自身,2,,夜,5,,他,4,,寅彦,3,,横,7,,簡単,8,,ふじ,3,,技術,11,,坐洲,2,,論文,4,,下りる,5,,自分,8,,す,3,,学問,4,,とおり,20,,教養,2,,人間,153,,自分,5,,全般,4,,まつ,11,,七,4,,主義,9,,非常,4,,上,8,,微粒子,3,,位置,1,,因果律,16,,傍点,9,,行,134,,研究,11,,至る,7,,構成,148,,熱,4,,博士,6
,むつかしい,2,,風,7,,つくる,10,,場合,2,,於く,9,,費,2,,地,2,,発行,2,,物質,73,,出来る,3,,方,23,,例,8,,通り,8,,物理,8,,もつ,6,,昭和,4,,文化,7,,四,4,,従来,6,,場合,4,,文献,7,,万,17,,哲学,4,,ない,2,,光,5,,られる,4,,中,3,,普通,7,,ため,8,,入力,3,,得る,10,,ざす,2,,難しい,4,,近づける,5,,ない,8,,取る,3,,嬉しい,4,,せる,20,,ら,2,,ぢ,150,,点,5,,しまう,4,,みんな,11,,中,3,,原因,9,,空中,4,,それ,8,,入力,3,,指定,1,,傍点,15,,来る,9,,理論,134,,条件,11,,知識,7,,個別,147,,労働,4,,以上,6
,中学,2,,日,7,,面,10,,六,2,,現代,9,,気,2,,１,2,,校正,2,,生活,71,,分,3,,船,23,,者,8,,方,8,,総体,8,,器械,6,,月,4,,上,7,,内,4,,われわれ,6,,実物,4,,論理,7,,できる,17,,星,4,,心,2,,処,5,,よい,4,,例,3,,前,7,,やる,8,,関係,3,,数学,10,,市中,2,,言葉,4,,られる,5,,理解,8,,平衡,3,,花,4,,ため,20,,物,2,,話す,150,,目的,5,,学者,4,,自分,11,,学術,3,,点,8,,言う,4,,度,8,,手,3,,近代,1,,知る,15,,方法,9,,小書き,133,,鉄,11,,重大,7,,問題,143,,思う,4,,点,6
,物理,2,,ん,7,,動く,10,,知る,2,,実験,9,,いける,2,,字,2,,作成,2,,外,71,,ため,3,,電気,22,,下げ,8,,以上,8,,一つ,8,,年,6,,入力,3,,考へる,7,,認める,4,,方,6,,言語,4,,説明,6,,字,16,,技術,3,,平和,2,,ない,5,,事実,4,,入力,3,,方,7,,せる,8,,直接,3,,一,9,,配布,2,,よい,4,,地中,5,,日,8,,われわれ,3,,的,4,,前,19,,やう,2,,つく,149,,仕事,5,,云う,4,,五,11,,一つ,3,,氏,8,,煙,4,,尺,8,,一,3,,戦,1,,点,15,,二,9,,自身,131,,頃,10,,上,7,,於く,141,,決定,4,,みる,6
,化学,2,,方面,7,,場合,10,,完全,2,,何,8,,いい,2,,上げ,2,,青空,2,,考える,70,,査定,3,,万,22,,複雑,8,,先,8,,ない,8,,装置,6,,講義,3,,あつい,7,,悪い,4,,則,6,,滑稽,4,,来る,6,,わけ,16,,入力,3,,聯合,2,,訳,5,,知識,4,,いける,3,,波長,7,,思う,8,,連絡,3,,民衆,9,,三,2,,知れる,4,,十,4,,山,8,,込,3,,湯,4,,上,19,,置く,2,,雲,149,,少ない,5,,ベデカ,4,,呪,11,,ここ,3,,連関,8,,温度,4,,事実,7,,時代,3,,切り離す,1,,考え方,15,,統計,9,,人間,131,,日,10,,異なる,7,,理解,141,,実践,4,,上,6
,言う,2,,時,6,,底,10,,自然,2,,人,8,,大切,2,,世界,2,,文庫,2,,発達,70,,セ,3,,云う,21,,対象,8,,来る,8,,そこ,8,,思う,6,,世界,3,,場合,7,,平均,4,,日,6,,日,4,,自身,6,,学問,16,,傍点,3,,機,2,,やすい,5,,人間,4,,指摘,3,,国際,7,,垂直,8,,疑問,3,,本質,9,,百,2,,困難,4,,三,4,,数学,8,,文庫,3,,月,4,,出発,19,,社,2,,糸,148,,製作,5,,絶対,4,,見える,11,,検討,3,,現象,8,,反対,4,,如何,7,,昔,3,,得る,1,,好き,15,,飲む,9,,実在,130,,見る,10,,人間,7,,時,139,,六,4,,先生,6
,レントゲン,2,,入る,6,,ラジウム,10,,式,2,,理論,8,,学問,2,,分る,2,,ファイル,2,,労働,70,,サル,3,,器,21,,みる,8,,動物,8,,生物,8,,空気,6,,回,3,,基礎,7,,温度,4,,者,5,,寺田,3,,わけ,6,,よい,15,,３,3,,中,2,,口,5,,発言,4,,二つ,3,,年,7,,底,8,,必要,3,,実証,9,,八月,2,,現象,4,,例,4,,冊,7,,日,3,,人,3,,知る,19,,見える,2,,海,145,,両者,5,,これら,4,,白い,11,,必要,3,,上,8,,仕掛け,4,,必要,7,,場合,3,,一般,1,,水,14,,〇,9,,下げ,129,,おく,10,,自由,7,,一般,138,,量,4,,出す,6
,生命,2,,一,6,,新聞,9,,られる,2,,権威,8,,世界,2,,進化,2,,テキスト,1,,失業,70,,無線,3,,時間,21,,わけ,8,,７,7,,言葉,7,,注意,6,,英語,3,,解決,7,,妙,4,,同様,5,,寅彦,3,,文明,6,,民族,15,,字,3,,社,2,,出る,5,,説く,4,,認める,3,,何,6,,程度,8,,原則,3,,反対,9,,英国,2,,順序,4,,とき,4,,いう,7,,記号,2,,例,3,,場合,19,,的,2,,話,144,,観察,5,,所説,4,,美しい,11,,含む,3,,発達,8,,地方,4,,一つ,7,,考え,3,,信ずる,1,,頭,14,,十,8,,物,129,,感光,10,,形態,7,,普遍,135,,文化,4,,学者,6
,幼稚,2,,二,6,,考える,9,,刷,2,,ここ,8,,出る,2,,動物,2,,中,1,,理論,69,,電話,3,,光,21,,もつ,8,,下げ,7,,一般,7,,みる,6,,くる,3,,政治,7,,急,4,,形,5,,例,3,,了,6,,書く,15,,下げ,3,,パリ,2,,出す,5,,反省,4,,そう,3,,海,6,,接触,8,,処,3,,素人,8,,方法,2,,行く,4,,ちる,4,,アメリカ,7,,ルビ,2,,大抵,3,,中,18,,低下,2,,られる,144,,系統,5,,究める,4,,ふる,11,,十分,3,,大戦,7,,光,4,,ペン,7,,蒐集,3,,自分,1,,もつ,13,,思う,8,,対立,125,,必要,10,,歴史,7,,与える,129,,得る,4,,今度,6
,少い,2,,面白い,6,,知識,9,,発行,2,,伝統,8,,来る,2,,ん,2,,現れる,1,,本質,69,,英国,3,,使う,20,,つくる,8,,れる,7,,二つ,7,,生きもの,6,,わけ,3,,通り,6,,影響,4,,本質,5,,入力,3,,論,6,,しれる,15,,られる,3,,いる,2,,穴,5,,行く,4,,できる,3,,られる,6,,表面,8,,心,3,,私,8,,機能,2,,私,4,,ところ,4,,世界,7,,随一,2,,綺麗,3,,どこ,18,,生活,2,,もつ,143,,人間,5,,境界,4,,學,10,,これら,3,,内容,7,,ふう,4,,地球,7,,修得,3,,考え,1,,栄養,13,,月,8,,根本,125,,作用,10,,普遍,7,,見る,129,,せる,4,,一番,6
,す,2,,越後,6,,わかる,9,,校正,2,,考える,8,,条件,2,,以後,2,,記号,1,,観念,69,,米国,3,,作る,20,,なす,8,,進化,7,,存在,7,,力,5,,機械,3,,結果,6,,間,4,,すべて,5,,位置,3,,一,6,,円,15,,特許,3,,回,2,,滴,5,,日,4,,来る,3,,結局,6,,球,8,,方,3,,何,8,,訳,2,,雑誌,4,,使う,4,,子供,7,,ずい,2,,入力,3,,論,18,,道,2,,出る,142,,物理,5,,九,4,,甲板,10,,ため,3,,達,7,,海,4,,現象,7,,発見,3,,違う,1,,知識,13,,必要,8,,２,121,,日本,10,,すべて,6,,性格,124,,結果,4,,研究,6
,しれる,2,,用いる,6,,学,9,,作成,2,,方法,8,,皆,2,,名づける,2,,者,1,,宗教,69,,られる,3,,よい,20,,火花,8,,就く,7,,資本,7,,わかる,5,,ドン・キホーテ,3,,ふる,6,,活動,4,,時,5,,定義,3,,実験,6,,例,14,,達,3,,總,2,,核,5,,入力,3,,富士,3,,分る,6,,人間,8,,了,3,,時局,8,,速やか,2,,興味,4,,出す,4,,せる,7,,いち,2,,いい,3,,蝋燭,18,,如何,2,,日,139,,必要,5,,説,4,,行く,10,,かよう,3,,下,7,,森,4,,重力,7,,存在,3,,ない,1,,かかる,13,,法則,8,,問題,120,,教授,9,,今日,6,,夫,124,,入力,3,,物質,6
,ない,2,,西洋,6,,放射,9,,青空,2,,文章,7,,差,2,,よい,2,,注,1,,場合,68,,望遠鏡,3,,非常,20,,６,7,,界,7,,原理,7,,浸る,5,,使う,3,,持つ,6,,尺度,4,,必要,5,,線,3,,合理,6,,３,14,,会社,3,,是,2,,香,5,,底本,3,,みる,3,,的,6,,新聞,7,,側,3,,二,8,,その他,2,,起す,4,,違う,4,,力,7,,片,2,,想い出,3,,服従,18,,われわれ,2,,五,139,,心,5,,囚われる,4,,持つ,10,,危険,3,,所,7,,例,3,,人間,7,,立場,3,,云う,1,,得る,13,,測定,8,,規定,120,,現象,9,,雰囲気,6,,形式,123,,者,3,,・,6
,ところ,2,,たち,6,,炉,9,,文庫,2,,事実,7,,的,2,,有無,2,,主,1,,必要,67,,二,3,,眼,20,,発達,7,,行く,7,,商品,7,,しれる,5,,一つ,3,,述べる,6,,できる,4,,目,5,,ここ,3,,二つ,6,,下げ,14,,於く,3,,者,2,,作る,5,,学,3,,やすい,3,,現在,6,,いい,7,,物,3,,見る,8,,事,2,,本,4,,大変,4,,努力,7,,ぺん,2,,自分勝手,3,,言う,17,,努力,2,,め,138,,描く,5,,月,4,,海水,10,,要素,3,,謂,7,,入力,3,,月,7,,家,3,,範囲,1,,予報,13,,度目,8,,終わる,119,,学界,9,,一般,6,,自身,122,,一つ,3,,縦,6
,使う,2,,知れる,6,,反対,9,,ファイル,2,,証明,7,,思う,2,,標識,2,,外字,1,,層,67,,先登,3,,動物,20,,使う,7,,とき,7,,地殻,7,,的,5,,誰,3,,與,6,,からだ,4,,考える,5,,猿,3,,時間,6,,見出し,14,,所,3,,底本,2,,例,4,,観点,3,,られる,3,,学,6,,現象,7,,代り,3,,そのもの,8,,所,2,,話,4,,水銀,4,,意味,7,,地,2,,学究,3,,光,17,,新しい,2,,地球,138,,来る,5,,日,4,,青い,10,,形作る,3,,条件,7,,おる,3,,前,7,,種々,3,,広い,1,,日,13,,落ちる,8,,手段,119,,十分,9,,奨励,6,,因果,122,,多く,3,,大学,5
